CoCode,Company Names,[Year & Month](All),[Month](All),[Year](All),[High](All),[Low](All),[Close](All),[High PE](All),[Low PE](All),[Close PE](All),[Market Cap](All),[Volume](All),[No of Trades](All),[Net Turnover-Rs Thousands](All)
3219,Pidilite Inds.,201202,2,2012,154.7,133.65,152,27.56,22.73,26.1,7715.52,5026248,52624,728451.047
3219,Pidilite Inds.,201203,3,2012,179.7,149.6,176.9,27.7,22.21,26.85,8979.44,1638290,30756,266131.6696
3219,Pidilite Inds.,201204,4,2012,186,163.85,182,28.85,24.69,27.62,9238.32,3202062,38067,552065.1354
3219,Pidilite Inds.,201205,5,2012,187.45,158.6,166.2,29.61,22.97,25.22,8436.31,4091673,69737,714818.9731
3219,Pidilite Inds.,201206,6,2012,180,158,165.85,28.19,23.55,25.17,8418.55,3302109,49550,559572.5229
3219,Pidilite Inds.,201207,7,2012,176.5,153.55,167.2,27.63,22.07,25.37,8487.07,3773518,56620,620001.486
3219,Pidilite Inds.,201208,8,2012,194.65,166.3,189.9,30.28,24.91,28.82,9639.32,3604294,56618,663590.0702
3219,Pidilite Inds.,201209,9,2012,212.9,189,206.15,33.48,27.17,31.35,10484.79,8374687,85964,1709977.635
3219,Pidilite Inds.,201210,10,2012,223.9,189,192.3,36.09,28.36,29.36,9818.84,4703754,87149,955051.954
3219,Pidilite Inds.,201211,11,2012,217.7,188.6,214.55,33.74,28.66,32.77,10961.36,3521524,64108,713412.3891
3219,Pidilite Inds.,201212,12,2012,224.7,205.05,218.1,35.94,31.01,33.42,11179.81,3473050,66395,744591.7382
3219,Pidilite Inds.,201301,1,2013,239.7,211.1,232.45,38.77,32.03,35.62,11915.39,5499567,91424,1243524.121
3219,Pidilite Inds.,201302,2,2013,264.95,232,241.2,41.23,33.46,36.96,12363.91,7476740,179263,1868529.613
3219,Pidilite Inds.,201303,3,2013,273.9,238.05,263.8,32.63,26.08,30.34,13522.39,3637414,101805,949692.4855
3219,Pidilite Inds.,201304,4,2013,276.9,247,249.2,32.7,28.09,28.67,12773.99,2290581,60309,587799.7447
3219,Pidilite Inds.,201305,5,2013,296.9,247,285.3,34.8,27.86,32.82,14624.48,5200368,131499,1460671.715
3219,Pidilite Inds.,201306,6,2013,287.15,259.2,267.2,33.27,29.11,30.74,13696.67,1402974,45823,384205.3417
3219,Pidilite Inds.,201307,7,2013,302.85,262.5,268.3,36.05,30.03,30.86,13753.06,3618144,66578,998555.0363
3219,Pidilite Inds.,201308,8,2013,278.95,219.75,224.7,32.7,24.81,25.85,11518.12,5220216,101273,1250329.091
3219,Pidilite Inds.,201309,9,2013,260,219.4,251,30.13,24.87,28.87,12866.26,6014559,122074,1439268.16
3219,Pidilite Inds.,201310,10,2013,290.5,250.25,288.6,33.64,27.77,33.2,14793.64,3615586,98005,977104.358
3219,Pidilite Inds.,201311,11,2013,304.8,273.45,300.9,35.72,30.25,34.61,15424.13,6065561,94076,1764916.844
3219,Pidilite Inds.,201312,12,2013,314.7,283.25,285.75,37.07,32.3,32.87,14647.55,4163959,87727,1227303.33
3219,Pidilite Inds.,201401,1,2014,293.7,269.6,279.85,34.74,29.31,32.19,14345.11,4309293,73019,1217362.108
